63;l
64;l
65;l
66;l
67;l
68;l
69;l
70;l
71;l
72;l
73;l
74;l
75;l
76;l
77;l
78;m
79;r 
80;r
81;r
82;l
83;l
84;l
85;l
86;l
87;l
88;m
89;l
90;l
91;m
92;m
93;m
94;r
95;r
96;r
97;r
98;r
99;r
100;r
101;r
102;r
103;l
104;l
105;l
106;l
107;l
108;l
109;l
110;l
111;l
112;l
113;l
114;l
115;l
116;l
117;l
118;m
119;m
120;m
121;l
122;m
123;m
124;m
125;r
126;r
127;l
128;l
129;l
130;l
131;m
132;m
133;m
134;m
135;l
136;m
137;m
138;m
139;l
140;l
141;l
142;l
143;l
144;l
145;l
146;l
147;r
148;r
149;l
150;m
151;r
152;r
153;r
154;m
155;r
156;r
157;r
158;r
159;m
160;r
161;m
162;m
163;l
164;l
165;l
166;l
167;l
168;l
169;l
170;l
171;l
172;l
173;l
174;l
175;l
176;r 
177;r 
178;r 
179;r 
180;r 
181;r 
182;l
183;l
184;l
185;l
186;m
187;l
188;l
189;l
190;l
191;l
192;m
193;m
194;m
195;m
196;r
197;r
198;l
199;l
200;l
201;l
202;l
203;l
204;l
205;l
206;l
207;m
208;m
209;m
210;m
211;r
212;l
213;l
214;m
215;m
216;m
217;m
218;l
219;l
220;m
221;r
222;l
223;l
224;l
225;l
226;l
227;l
228;l
229;l
230;m
231;l
232;l
233;m
234;l
235;l
236;l
237;l
238;l
239;l
240;l
241;l
242;l
243;l
244;l
245;l
246;l
247;l
248;l
249;l
250;l
251;l
252;r 
253;l
254;l
255;l
256;l
257;l
258;l
259;m
260;m
261;m
262;m
263;r
264;r
265;r
266;r
267;l
268;l
269;l
270;l
271;l
272;l
273;l
274;l
275;l
276;l
277;l
278;m
279;r
280;m
281;r
282;m
283;l
284;l
285;l
286;l
287;m
288;l
289;l
290;l
291;m
292;m
293;l
294;m
295;m
296;l
297;m
298;l
299;l
300;l
301;l
302;l
303;l
304;l
305;l
306;l
307;l
308;l
309;m
310;l
311;l
312;l
